a camping holiday 	kempingezés, sátorozás
a holiday by the sea 	tengerparti nyaralás
a sea-cruise 	tengeri utazás
a skiing holiday 	síelés
a tour of … 	körutazás vhol
accommodation 	szállás
all-inclusive holiday 	nyaralás teljes ellátással
beach 	tengerpart
day off 	szabadnap
excursion 	kirándulás, túra
hitchhiking 	autóstoppal utazik
holiday resort 	üdülőhely
package holiday 	társasutazás
recreation 	üdülés
seaside holiday 	tengerparti nyaralás
summer holiday, summer vacation 	nyaralás teljes ellátással
sun milk 	naptej
sunbath 	napfürdő
tan 	lebarnulás
to relax 	kikapcsolódni
travel agency 	utazási iroda
travel bureau 	utazási iroda
