class 	tanóra
disadvantage 	hátrány
equality 	egyenlőség
exam 	vizsga
family care center 	családsegítő
furtherance 	segítés
have a right 	joga van
human right 	emberi jog
in the same way 	azonos módon
integration 	beilleszkedés
justice 	igazság
learning 	tanulás
overcome 	leküzd
restriction 	korlátozás
right 	jog
society 	társadalom
special attention 	kiemelt figyelem
special treatment 	különleges bánásmód
student 	tanuló
support 	támogatás
to handle 	kezelni
to repeat year 	évet ismétel
treatment 	bánásmód
value 	érték
