advantage 	előny
coaching 	oktatás
cohabitation 	együttélés
development 	fejlődés
disadvantage 	hátrány
disrespect 	tiszteletlenség
exchange of working methods 	tapasztalatcsere
experience 	tapasztalat
gain experience 	tapasztalatszerzés
gain knowledge 	ismeretszerzés
generation 	generáció
hate 	utálat
heritage/legacy 	örökség
knowledge 	ismeretek
learning 	tanulás
love 	szeretet
mutual respect 	kölcsönös tisztelet
respect 	tisztelet
respect to each other 	egymás iránti tisztelet
to give experience 	tapasztalatot adni
tolerance 	tolerancia
