(at) the olympic games 	olimpiai játékok(on)
100 metres 	100 méteres futás
1500 metres 	1500 méteres futás
a draw 	döntetlen
ace 	ász
aerobics 	aerobik
amateur 	amatőr
american football 	amerikai futball
archery 	íjászat
athletics 	atlétika
backgammon 	backgammon
badminton 	tollaslabda
badminton racquet 	tollasütő
ball 	labda
baseball 	baseball
baseball bat 	baseball ütő
basketball 	kosárlabda
beach volleyball 	strandröplabda
bell 	csengő
bicycle pump 	kerékpárpumpa
bishop 	futó
blackjack 	huszonegy
blood sport 	vadászat
board game 	társasjáték
booking 	sárga vagy piros lap
bowls 	tekézés
boxing 	boxolás
boxing glove 	boxkesztyű
boxing ring 	boxring
brake 	fék
bridge 	bridzs
canoeing 	kenuzás
card 	kártya
chain 	lánc
championship(s) 	bajnokság
check 	sakk
checkmate 	sakk-matt
chess 	sakk
chessboard 	sakktábla
climbing 	hegymászás
club 	egyesület, klub
clubs 	treff
coach 	edző
competition 	verseny
competitive 	versengő
competitor 	versenyző, résztvevő
corner kick vagy corner 	szöglet (rúgás)
cricket 	krikett
cricket bat 	krikett ütő
cricket ground 	krikettpálya
crossbar vagy bar 	keresztrúd
cup 	kupa
cup final 	kupadöntő
cycling 	kerékpározás
darts 	célbadobós játék / dart
defeat 	vereség
diamonds 	káró
discus throw 	diszkoszvetés
diving 	búvárkodás
do you do any (physical) exercise? 	tornázol?
do you do any sport? 	sportolsz?
dominoes 	dominó
draughts 	dámajáték
draw 	döntetlen
european champion 	európa-bajnok
extreme 	extrém
fan 	drukker
fishing 	halászás
fishing rod 	horgászbot
fixture 	mérkőzés
football 	futball / foci
football boots 	futballcipő
football club 	futballkub
football pitch 	futballpálya
foul 	szabálytalanság
free kick 	szabadrúgás
game 	játék
gears 	fogaskerekek/sebességváltó
go 	go
go-karting 	gokartozás
goal 	gól
goal kick 	kirúgás
goalkeeper 	kapus
goalpost vagy post 	kapu
golf 	golf
golf club 	golfütő
golf course 	golfpálya
good move! 	ez jó lépés volt!
gym 	edzőterem
gymnastics 	torna
half-time 	félidő
half-way line 	felezővonal
hammer throw 	kalapácsvetés
hand 	leosztás
handball 	kézilabda
handlebars 	kormány
header 	fejes
hearts 	kőr
heat 	verseny, játszmasor
high jump 	magasugrás
hiking 	túrázás
hockey 	hoki
hockey stick 	hokiütő
horse racing 	lóverseny
horse riding 	lovaglás
hunting 	vadászat
hurdles 	gátfutás
ice hockey 	jégkorong
ice rink 	jégpálya
ice skates 	jégkorcsolya
ice skating 	korcsolyázás
indoor games 	benti játékok
inline skating vagy rollerblading 	görkorcsolyázás
inner tube 	gumibelső
jack 	jumbó
javelin throw 	gerelyhajítás
jogging 	kocogás
joker 	dzsóker
judo 	cselgáncs
karate 	karate
keep-fit 	edzés
kick boxing 	kick-boxolás
king 	király
knight 	ló
lacrosse 	lacrosse
league table 	bajnoki tabella
leisure 	szabadidő
linesman 	vonalbíró
long jump 	távolugrás
loser 	vesztes
loss 	veszteség
manager 	vezetőedző
marathon 	maraton
martial arts 	harcművészetek
match 	meccs
motor racing 	motorkerékpár versenyzés
mountaineering 	hegymászás
move 	lépés
national champion 	országos bajnok
net 	háló
netball 	kézilabda játék
offside 	les
olympic champion 	olimpiai bajnok
olympic games 	olimpiai játékok
opponent 	ellenfél
opposition 	ellenfél
outdoor games 	szabadtéri játékok
pack of cards 	pakli kártya
participant 	résztvevő
pass 	passz
pawn 	paraszt
pedal 	pedál
penalty 	tizenegyes
penalty area 	tizenhatos
penalty spot 	büntetőpont
piece 	bábu
player 	játékos
poker 	póker
pole vault 	rúdugrás
pool 	biliárd szerű játék
pool cue 	dákó
professional 	profi
puncture 	defekt
puncture repair kit 	defektjavító készlet
queen 	dáma
racetrack 	versenypálya
red card 	piros lap
referee 	bíró / játékvezető
result 	eredmény
rook vagy castle 	bástya
rowing 	evezés
rugby 	rögbi
rugby ball 	rögbilabda
running 	futás
running shoes 	futócipő
running track 	futópálya
saddle 	nyereg/ülés
sailing 	vitorlázás
score 	eredmény
scuba diving 	búvárkodás
shooting 	lövészet
shot 	rúgás
shot put 	súlylökés
skateboard 	gördeszka
