(to make an) arrest 	letartóztat
capital punishment 	halálbüntetés
case 	ügy, eset, bűnügy
death penalty 	halálbüntetés
defendant 	alperes
detective 	detektív
deterrent 	elrettentő
hearing 	tárgyalás
inquest 	nyomozás
inquiry 	nyomozás
investigate 	vizsgál
investigation 	nyomozás
judge 	bíró
judge’s hammer 	bírói kalapács
judicial proceeding 	bírósági eljárás
jury 	esküdtszék
lawsuit 	perbefogás, kereset
lawyer 	jogász
magistrate 	igazságügyi tisztviselő
pay down 	lefizet
plaintiff 	felperes
prosecution 	perbefogás
public prosecutor 	district attorney
punishment 	büntetés
sneak 	spicli
the accused 	vádlott
the court 	bíróság
the day of the trial 	a tárgyalás napja
the police 	rendőrség
to acquit 	felment (vádlottat)
to appeal 	fellebbez
to charge sy with sg 	megvádol vkit vmivel
to confess 	bevall
to convict 	elítél vkit
to deter 	elrettent
to drop a case 	ejti a vádakat
to drop charges 	ejti a vádakat
to find sy guilty (of) 	vkit bűnösnek kimond, vkit elítél
to give evidence 	bizonyít
to investigate 	kinyomoz
to plead guilty 	beismeri bűnösségét
to press / bring charges against sy 	vádat emel vki ellen
to prosecute 	vádat emel
to sentence sy to a term of … 	… időtartamra ítél vkit
to sentence sy to death 	halára ítél vkit
to sentence sy to life 	életfogytiglanra ítél vkit
to sue 	beperel vkit
to take sy to court 	bíróságra visz
to testify 	tanúskodik
to track down 	lenyomoz
tribunal 	bírói szék
witness 	tanú
