a drug addict 	kábítószerfüggő
alcoholism 	alkoholizmus
an alcoholic 	alkoholista
child benefit 	családi pótlék
depression 	depresszió
discrimination 	diszkrimináció
division of labour 	munkamegosztás
drug addiction 	kábítószer-függőség
ethnic minorities 	etnikum, nemzeti kisebbség
ethnic problems 	kisebbségi problémák
family care center 	családsegítő szolgálat
feminist 	feminista, a női egyenjogúság híve
gender roles 	nemi szerepek
homelessness 	hajléktalanság
inflation 	áremelkedés, infláció
invalidity 	rokkantság
living standards 	életszínvonal
loneliness 	magányosság
male chauvinism 	férfiak felsőbbrendűségének az elve
middle class 	középosztály
poverty 	szegénység
price hikes 	áremelés
sexism 	szexizmus, nemi előítélet
shortage of goods 	áruhiány
slump 	gazdasági válság
social benefits 	szociális juttatások
social inequality 	társadalmi egyenlőtlenség
social worker 	családgondozó
subsidy 	segélypénz
tax increase/hike 	adóemelés
the economic situation 	gazdasági helyzet
the wage spectrum 	(munka)bérskála
the women’s lib movement 	nőmozgalom
to be / live below the poverty line 	létminimum alatt él
to discriminate against sy 	diszkriminál, kirekeszt vkit
unemployment 	munkanélküliség
upper class 	felsőbb osztály, arisztokrácia
wealth 	vagyon
women’s rights 	nők jogai
working class 	munkásosztály
