a native english teacher 	anyanyelvi angoltanár
a non-native english teacher 	nem anyanyelvi angoltanár
art teacher 	rajztanár
biology teacher 	biológia tanár
bright 	gyors felfogású
discipline problems 	fegyelmezési problémák
fair 	igazságos
form master 	osztályfőnök
form mistress 	osztályfőnöknő
form teacher 	osztályfőnök
gifted 	tehetséges
hard-working 	szorgalmas
head teacher 	igazgató
headmaster 	igazgató
headmistress 	igazgatónő
history teacher 	történelem tanár
hopeless 	reménytelen
instructor 	oktató
just 	igazságos
lazy 	lusta
lenient 	elnéző
pupil 	tanuló
quick on the uptake 	gyors felfogású
staff 	tanári kar
strict 	szigorú
student 	diák
talented 	tehetséges
teacher 	szaktanár
to coach sy (in a subject/for an exam) 	felkészít vkit (egy tantárgyból/egy vizsgára)
to fail sy 	megbuktat vkit
to give a test in a subject 	dolgozatot írat egy tantárgyból
to have a gift for … 	tehetsége van vmihez
to make sy interested in … 	felkelti az érdeklődését vkinek vmi iránt
to pass sy 	átenged vkit (pl. vizsgán)
unfair 	igazságtalan
weak 	gyenge
